TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GCGW00000000.1,GCGW,PRJNA267975,SAMN03223137,None,adult,None
GCGW00000000.1,GCGW,PRJNA267975,SAMN03223137,not determined,None,None
GCNB00000000.1,GCNB,PRJNA267997,SAMN03223160,None,None,whole organism
GCNB00000000.1,GCNB,PRJNA267997,SAMN03223160,None,adult,None
GCNB00000000.1,GCNB,PRJNA267997,SAMN03223160,not determined,None,None
GCGA00000000.1,GCGA,PRJNA267956,SAMN03223118,None,None,whole organism
GCGA00000000.1,GCGA,PRJNA267956,SAMN03223118,None,adult,None
GCGA00000000.1,GCGA,PRJNA267956,SAMN03223118,not determined,None,None
GCFN00000000.1,GCFN,PRJNA267965,SAMN03223127,None,None,whole organism
GCFN00000000.1,GCFN,PRJNA267965,SAMN03223127,None,adult,None
GCFN00000000.1,GCFN,PRJNA267965,SAMN03223127,not determined,None,None
GCFF00000000.1,GCFF,PRJNA267921,SAMN03223083,None,None,whole organism
GCFF00000000.1,GCFF,PRJNA267921,SAMN03223083,None,adult,None
GCFF00000000.1,GCFF,PRJNA267921,SAMN03223083,not determined,None,None
GCGM00000000.1,GCGM,PRJNA267980,SAMN03223142,None,None,whole organism
GCGM00000000.1,GCGM,PRJNA267980,SAMN03223142,None,adult,None
GCGM00000000.1,GCGM,PRJNA267980,SAMN03223142,not determined,None,None
GCFC00000000.1,GCFC,PRJNA267942,SAMN03223104,None,None,whole organism
GCFC00000000.1,GCFC,PRJNA267942,SAMN03223104,None,adult,None
GCFC00000000.1,GCFC,PRJNA267942,SAMN03223104,female,None,None
GCMA00000000.1,GCMA,PRJNA267943,SAMN03223105,None,None,whole organism
GCMA00000000.1,GCMA,PRJNA267943,SAMN03223105,None,adult,None
GCMA00000000.1,GCMA,PRJNA267943,SAMN03223105,male,None,None
GCLX00000000.1,GCLX,PRJNA267933,SAMN03223095,None,None,whole organism
GCLX00000000.1,GCLX,PRJNA267933,SAMN03223095,None,adult,None
GCLX00000000.1,GCLX,PRJNA267933,SAMN03223095,not determined,None,None
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357529,None,None,whole cricket
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357529,None,adult + juvenile pooled,None
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357529,male,None,None
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357530,None,None,whole cricket
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357530,None,adult + juvenile pooled,None
GHDK00000000.1,GHDK,PRJNA509479,SAMN08357530,female,None,None
GGNH00000000.1,GGNH,PRJNA360217,SAMN06205216,pooled male and female,None,None
GGNH00000000.1,GGNH,PRJNA360217,SAMN06205216,None,None,salivary gland
GGNH00000000.1,GGNH,PRJNA360217,SAMN06205216,None,adult,None
GHEU00000000.1,GHEU,PRJNA505968,SAMN10434535,None,None,whole body
GHEU00000000.1,GHEU,PRJNA505968,SAMN10434535,None,adult,None
GHEU00000000.1,GHEU,PRJNA505968,SAMN10434535,not determined,None,None
GHFF00000000.1,GHFF,PRJNA505968,SAMN10434580,None,None,whole body
GHFF00000000.1,GHFF,PRJNA505968,SAMN10434580,None,adult,None
GHFF00000000.1,GHFF,PRJNA505968,SAMN10434580,not determined,None,None
GHFE00000000.1,GHFE,PRJNA505968,SAMN10439713,None,None,whole body
GHFE00000000.1,GHFE,PRJNA505968,SAMN10439713,None,adult,None
GHFE00000000.1,GHFE,PRJNA505968,SAMN10439713,male,None,None
GHEZ00000000.1,GHEZ,PRJNA505968,SAMN10434582,None,None,whole body
GHEZ00000000.1,GHEZ,PRJNA505968,SAMN10434582,None,adult,None
GHEZ00000000.1,GHEZ,PRJNA505968,SAMN10434582,male,None,None
GHFA00000000.1,GHFA,PRJNA505968,SAMN10438024,None,None,whole body
GHFA00000000.1,GHFA,PRJNA505968,SAMN10438024,None,adult,None
GHFA00000000.1,GHFA,PRJNA505968,SAMN10438024,male,None,None
GHEX00000000.1,GHEX,PRJNA505968,SAMN10437982,None,None,whole body
GHEX00000000.1,GHEX,PRJNA505968,SAMN10437982,None,adult,None
GHEX00000000.1,GHEX,PRJNA505968,SAMN10437982,not determined,None,None
GHEY00000000.1,GHEY,PRJNA505968,SAMN10437878,None,None,whole body
GHEY00000000.1,GHEY,PRJNA505968,SAMN10437878,not determined,None,None
GHEH00000000.1,GHEH,PRJNA492313,SAMN10096876,None,None,gut
GHEH00000000.1,GHEH,PRJNA492313,SAMN10096876,None,adult,None
GDYJ00000000.1,GDYJ,PRJNA286346,SAMN04005131,None,None,whole organism
GDYJ00000000.1,GDYJ,PRJNA286346,SAMN04005131,None,adult,None
GDYJ00000000.1,GDYJ,PRJNA286346,SAMN04005131,not determined,None,None
GDXP00000000.1,GDXP,PRJNA286452,SAMN04005238,None,None,whole organism
GDXP00000000.1,GDXP,PRJNA286452,SAMN04005238,None,adult,None
GDXP00000000.1,GDXP,PRJNA286452,SAMN04005238,not determined,None,None
GDYD00000000.1,GDYD,PRJNA286468,SAMN04005254,None,None,whole organism
GDYD00000000.1,GDYD,PRJNA286468,SAMN04005254,None,adult,None
GDYD00000000.1,GDYD,PRJNA286468,SAMN04005254,not determined,None,None
GDYE00000000.1,GDYE,PRJNA286365,SAMN04005150,None,None,whole organism
GDYE00000000.1,GDYE,PRJNA286365,SAMN04005150,None,nymph,None
GDYE00000000.1,GDYE,PRJNA286365,SAMN04005150,not determined,None,None
GDZF00000000.1,GDZF,PRJNA286371,SAMN04005156,None,None,whole organism
GDZF00000000.1,GDZF,PRJNA286371,SAMN04005156,None,nymph,None
GDZF00000000.1,GDZF,PRJNA286371,SAMN04005156,not determined,None,None
GDYK00000000.1,GDYK,PRJNA286399,SAMN04005184,None,None,whole organism
GDYK00000000.1,GDYK,PRJNA286399,SAMN04005184,None,adult,None
GDYK00000000.1,GDYK,PRJNA286399,SAMN04005184,not determined,None,None
GDVA00000000.1,GDVA,PRJNA286449,SAMN04005235,None,None,whole organism
GDVA00000000.1,GDVA,PRJNA286449,SAMN04005235,not determined,None,None
GDYC00000000.1,GDYC,PRJNA286368,SAMN04005153,None,None,whole organism
GDYC00000000.1,GDYC,PRJNA286368,SAMN04005153,None,adult,None
GDYC00000000.1,GDYC,PRJNA286368,SAMN04005153,not determined,None,None
GDZI00000000.1,GDZI,PRJNA286432,SAMN04005217,None,None,whole organism
GDZI00000000.1,GDZI,PRJNA286432,SAMN04005217,None,adult,None
GDZI00000000.1,GDZI,PRJNA286432,SAMN04005217,male,None,None
GDWW00000000.1,GDWW,PRJNA286658,SAMN04005126,None,None,whole organism
GDWW00000000.1,GDWW,PRJNA286658,SAMN04005126,None,adult,None
GDWW00000000.1,GDWW,PRJNA286658,SAMN04005126,not determined,None,None
GEAA00000000.1,GEAA,PRJNA286338,SAMN04005121,None,None,whole organism
GEAA00000000.1,GEAA,PRJNA286338,SAMN04005121,None,adult,None
GEAA00000000.1,GEAA,PRJNA286338,SAMN04005121,not determined,None,None
GDZY00000000.1,GDZY,PRJNA286375,SAMN04005160,None,None,whole organism
GDZY00000000.1,GDZY,PRJNA286375,SAMN04005160,None,adult,None
GDZY00000000.1,GDZY,PRJNA286375,SAMN04005160,not determined,None,None
GDWU00000000.1,GDWU,PRJNA286461,SAMN04005247,None,None,whole organism
GDWU00000000.1,GDWU,PRJNA286461,SAMN04005247,None,adult,None
GDWU00000000.1,GDWU,PRJNA286461,SAMN04005247,pooled male and female,None,None
GDVQ00000000.1,GDVQ,PRJNA286466,SAMN04005252,None,None,whole organism
GDVQ00000000.1,GDVQ,PRJNA286466,SAMN04005252,None,larva,None
GDVQ00000000.1,GDVQ,PRJNA286466,SAMN04005252,not determined,None,None
GDZE00000000.1,GDZE,PRJNA286416,SAMN04005201,None,None,missing
GDZE00000000.1,GDZE,PRJNA286416,SAMN04005201,not determined,None,None
GDYS00000000.1,GDYS,PRJNA286373,SAMN04005158,None,None,whole organism
GDYS00000000.1,GDYS,PRJNA286373,SAMN04005158,None,adult,None
GDYS00000000.1,GDYS,PRJNA286373,SAMN04005158,not determined,None,None
GDYB00000000.1,GDYB,PRJNA286415,SAMN04005200,None,None,whole organism
GDYB00000000.1,GDYB,PRJNA286415,SAMN04005200,not determined,None,None
GDZH00000000.1,GDZH,PRJNA286357,SAMN04005142,None,None,whole organism
GDZH00000000.1,GDZH,PRJNA286357,SAMN04005142,None,adult,None
GDZH00000000.1,GDZH,PRJNA286357,SAMN04005142,male,None,None
GDXG00000000.1,GDXG,PRJNA286440,SAMN04005226,None,None,head
GDXG00000000.1,GDXG,PRJNA286440,SAMN04005226,None,larva,None
GDXG00000000.1,GDXG,PRJNA286440,SAMN04005226,female,None,None
GDWV00000000.1,GDWV,PRJNA286471,SAMN04005257,None,None,whole organism
GDWV00000000.1,GDWV,PRJNA286471,SAMN04005257,None,adult,None
GDWV00000000.1,GDWV,PRJNA286471,SAMN04005257,female,None,None
GDWT00000000.1,GDWT,PRJNA286405,SAMN04005190,None,None,whole organism
GDWT00000000.1,GDWT,PRJNA286405,SAMN04005190,None,adult,None
GDWT00000000.1,GDWT,PRJNA286405,SAMN04005190,not determined,None,None
GDWQ00000000.1,GDWQ,PRJNA286426,SAMN04005211,None,None,whole organism
GDWQ00000000.1,GDWQ,PRJNA286426,SAMN04005211,None,adult,None
GDWQ00000000.1,GDWQ,PRJNA286426,SAMN04005211,pooled male and female,None,None
GDZZ00000000.1,GDZZ,PRJNA286400,SAMN04005185,None,None,whole organism
GDZZ00000000.1,GDZZ,PRJNA286400,SAMN04005185,None,adult,None
GDZZ00000000.1,GDZZ,PRJNA286400,SAMN04005185,not determined,None,None
GDWJ00000000.1,GDWJ,PRJNA286439,SAMN04005225,None,None,whole organism
GDWJ00000000.1,GDWJ,PRJNA286439,SAMN04005225,None,adult,None
GDWJ00000000.1,GDWJ,PRJNA286439,SAMN04005225,not determined,None,None
GDEC00000000.1,GDEC,PRJNA272190,SAMN03331977,None,None,whole organism
GDEC00000000.1,GDEC,PRJNA272190,SAMN03331977,None,missing,None
GDEC00000000.1,GDEC,PRJNA272190,SAMN03331977,missing,None,None
GDYG00000000.1,GDYG,PRJNA286363,SAMN04005148,None,None,whole organism
GDYG00000000.1,GDYG,PRJNA286363,SAMN04005148,None,adult,None
GDYG00000000.1,GDYG,PRJNA286363,SAMN04005148,not determined,None,None
GDZJ00000000.1,GDZJ,PRJNA286383,SAMN04005168,None,None,whole organism
GDZJ00000000.1,GDZJ,PRJNA286383,SAMN04005168,male,None,None
GDZD00000000.1,GDZD,PRJNA286348,SAMN04005133,None,None,missing
GDZD00000000.1,GDZD,PRJNA286348,SAMN04005133,not determined,None,None
GDUO00000000.1,GDUO,PRJNA286401,SAMN04005186,None,None,whole organism
GDUO00000000.1,GDUO,PRJNA286401,SAMN04005186,None,adult,None
GDUO00000000.1,GDUO,PRJNA286401,SAMN04005186,not determined,None,None
GDYP00000000.1,GDYP,PRJNA286364,SAMN04005149,None,None,whole organism
GDYP00000000.1,GDYP,PRJNA286364,SAMN04005149,female,None,None
GDUG00000000.1,GDUG,PRJNA286352,SAMN04005137,None,None,whole organism
GDUG00000000.1,GDUG,PRJNA286352,SAMN04005137,None,adult,None
GDUG00000000.1,GDUG,PRJNA286352,SAMN04005137,not determined,None,None
GGRH00000000.1,GGRH,PRJNA431151,SAMN08384474,None,None,antenna
GGRH00000000.1,GGRH,PRJNA431151,SAMN08384474,pooled male and female,None,None
GGRG00000000.1,GGRG,PRJNA478813,SAMN09531832,pooled male and female,None,None
GGRG00000000.1,GGRG,PRJNA478813,SAMN09531832,None,None,antenna
GDCR00000000.1,GDCR,PRJNA273023,SAMN03339326,None,None,whole organism
GDCR00000000.1,GDCR,PRJNA273023,SAMN03339326,None,adult,None
GDCR00000000.1,GDCR,PRJNA273023,SAMN03339326,female,None,None
GDCG00000000.1,GDCG,PRJNA273059,SAMN03339362,None,None,whole organism
GDCG00000000.1,GDCG,PRJNA273059,SAMN03339362,None,adult,None
GDCG00000000.1,GDCG,PRJNA273059,SAMN03339362,missing,None,None
GDCF00000000.1,GDCF,PRJNA273022,SAMN03339325,None,None,whole organism
GDCF00000000.1,GDCF,PRJNA273022,SAMN03339325,None,adult,None
GDCF00000000.1,GDCF,PRJNA273022,SAMN03339325,female,None,None
GDBO00000000.1,GDBO,PRJNA273038,SAMN03339341,None,None,whole organism
GDBO00000000.1,GDBO,PRJNA273038,SAMN03339341,None,adult,None
GDBO00000000.1,GDBO,PRJNA273038,SAMN03339341,missing,None,None
GDCK00000000.1,GDCK,PRJNA273020,SAMN03339323,None,None,whole organism
GDCK00000000.1,GDCK,PRJNA273020,SAMN03339323,None,adult,None
GDCK00000000.1,GDCK,PRJNA273020,SAMN03339323,missing,None,None
GDCJ00000000.1,GDCJ,PRJNA273058,SAMN03339361,None,None,whole organism
GDCJ00000000.1,GDCJ,PRJNA273058,SAMN03339361,None,adult,None
GDCJ00000000.1,GDCJ,PRJNA273058,SAMN03339361,missing,None,None
GCPS00000000.1,GCPS,PRJNA273039,SAMN03339342,None,None,whole organism
GCPS00000000.1,GCPS,PRJNA273039,SAMN03339342,None,adult,None
GCPS00000000.1,GCPS,PRJNA273039,SAMN03339342,missing,None,None
GCPR00000000.1,GCPR,PRJNA273055,SAMN03339358,None,None,whole organism
GCPR00000000.1,GCPR,PRJNA273055,SAMN03339358,None,adult,None
GCPR00000000.1,GCPR,PRJNA273055,SAMN03339358,missing,None,None
GCPO00000000.1,GCPO,PRJNA273050,SAMN03339353,None,None,whole organism
GCPO00000000.1,GCPO,PRJNA273050,SAMN03339353,None,nymph,None
GCPO00000000.1,GCPO,PRJNA273050,SAMN03339353,missing,None,None
GDBS00000000.1,GDBS,PRJNA273034,SAMN03339337,None,None,whole organism
GDBS00000000.1,GDBS,PRJNA273034,SAMN03339337,None,adult,None
GDBS00000000.1,GDBS,PRJNA273034,SAMN03339337,male,None,None
GDBT00000000.1,GDBT,PRJNA273057,SAMN03339360,None,None,whole organism
GDBT00000000.1,GDBT,PRJNA273057,SAMN03339360,None,nymph,None
GDBT00000000.1,GDBT,PRJNA273057,SAMN03339360,missing,None,None
GDBP00000000.1,GDBP,PRJNA273052,SAMN03339355,None,None,whole organism
GDBP00000000.1,GDBP,PRJNA273052,SAMN03339355,None,nymph,None
GDBP00000000.1,GDBP,PRJNA273052,SAMN03339355,missing,None,None
GDCU00000000.1,GDCU,PRJNA273036,SAMN03339339,None,None,whole organism
GDCU00000000.1,GDCU,PRJNA273036,SAMN03339339,None,adult,None
GDCU00000000.1,GDCU,PRJNA273036,SAMN03339339,missing,None,None
GDCL00000000.1,GDCL,PRJNA273025,SAMN03339328,None,None,whole organism
GDCL00000000.1,GDCL,PRJNA273025,SAMN03339328,None,adult,None
GDCL00000000.1,GDCL,PRJNA273025,SAMN03339328,missing,None,None
GDCI00000000.1,GDCI,PRJNA273041,SAMN03339344,None,None,whole organism
GDCI00000000.1,GDCI,PRJNA273041,SAMN03339344,None,adult,None
GDCI00000000.1,GDCI,PRJNA273041,SAMN03339344,missing,None,None
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,None,None,head and thorax
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,None,nymph,None
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,female,None,None
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,None,None,head and thorax
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,None,adult,None
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,female,None,None
GDCB00000000.1,GDCB,PRJNA273051,SAMN03339354,None,None,whole organism
GDCB00000000.1,GDCB,PRJNA273051,SAMN03339354,None,adult,None
GDCB00000000.1,GDCB,PRJNA273051,SAMN03339354,missing,None,None
GDBY00000000.1,GDBY,PRJNA273053,SAMN03339356,None,None,whole organism
GDBY00000000.1,GDBY,PRJNA273053,SAMN03339356,None,adult,None
GDBY00000000.1,GDBY,PRJNA273053,SAMN03339356,missing,None,None
GCPK00000000.1,GCPK,PRJNA273037,SAMN03339340,None,None,whole organism
GCPK00000000.1,GCPK,PRJNA273037,SAMN03339340,None,adult,None
GCPK00000000.1,GCPK,PRJNA273037,SAMN03339340,missing,None,None
GCPJ00000000.1,GCPJ,PRJNA273062,SAMN03339365,None,None,whole organism
GCPJ00000000.1,GCPJ,PRJNA273062,SAMN03339365,None,adult,None
GCPJ00000000.1,GCPJ,PRJNA273062,SAMN03339365,missing,None,None
GCPH00000000.1,GCPH,PRJNA273047,SAMN03339350,None,None,whole organism
GCPH00000000.1,GCPH,PRJNA273047,SAMN03339350,None,adult,None
GCPH00000000.1,GCPH,PRJNA273047,SAMN03339350,missing,None,None
GCPF00000000.1,GCPF,PRJNA273027,SAMN03339330,None,None,whole organism
GCPF00000000.1,GCPF,PRJNA273027,SAMN03339330,None,adult,None
GCPF00000000.1,GCPF,PRJNA273027,SAMN03339330,male,None,None
GDBR00000000.1,GDBR,PRJNA273046,SAMN03339349,None,None,whole organism
GDBR00000000.1,GDBR,PRJNA273046,SAMN03339349,None,adult,None
GDBR00000000.1,GDBR,PRJNA273046,SAMN03339349,missing,None,None
GDBN00000000.1,GDBN,PRJNA273024,SAMN03339327,None,None,whole organism
GDBN00000000.1,GDBN,PRJNA273024,SAMN03339327,None,nymph,None
GDBN00000000.1,GDBN,PRJNA273024,SAMN03339327,missing,None,None
GCPE00000000.1,GCPE,PRJNA273043,SAMN03339346,None,None,whole organism
GCPE00000000.1,GCPE,PRJNA273043,SAMN03339346,None,unknown,None
GCPE00000000.1,GCPE,PRJNA273043,SAMN03339346,missing,None,None
GDCH00000000.1,GDCH,PRJNA273049,SAMN03339352,None,None,whole organism
GDCH00000000.1,GDCH,PRJNA273049,SAMN03339352,None,adult,None
GDCH00000000.1,GDCH,PRJNA273049,SAMN03339352,female,None,None
GCPQ00000000.1,GCPQ,PRJNA273018,SAMN03339321,None,None,whole organism
GCPQ00000000.1,GCPQ,PRJNA273018,SAMN03339321,None,adult,None
GCPQ00000000.1,GCPQ,PRJNA273018,SAMN03339321,missing,None,None
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,None,None,head and thorax
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,None,adult,None
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,missing,None,None
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,None,None,head and thorax
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,None,adult,None
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,female,None,None
GDCA00000000.1,GDCA,PRJNA273026,SAMN03339329,None,None,whole organism
GDCA00000000.1,GDCA,PRJNA273026,SAMN03339329,None,adult,None
GDCA00000000.1,GDCA,PRJNA273026,SAMN03339329,male,None,None
GDBZ00000000.1,GDBZ,PRJNA273021,SAMN03339324,None,None,whole organism
GDBZ00000000.1,GDBZ,PRJNA273021,SAMN03339324,None,nymph,None
GDBZ00000000.1,GDBZ,PRJNA273021,SAMN03339324,missing,None,None
GDCS00000000.1,GDCS,PRJNA273033,SAMN03339336,None,None,whole organism
GDCS00000000.1,GDCS,PRJNA273033,SAMN03339336,None,adult,None
GDCS00000000.1,GDCS,PRJNA273033,SAMN03339336,female,None,None
GCPN00000000.1,GCPN,PRJNA273044,SAMN03339347,None,None,whole organism
GCPN00000000.1,GCPN,PRJNA273044,SAMN03339347,None,adult,None
GCPN00000000.1,GCPN,PRJNA273044,SAMN03339347,female,None,None
GCPL00000000.1,GCPL,PRJNA273029,SAMN03339332,None,None,whole organism
GCPL00000000.1,GCPL,PRJNA273029,SAMN03339332,None,male,None
GCPL00000000.1,GCPL,PRJNA273029,SAMN03339332,male,None,None
GCPM00000000.1,GCPM,PRJNA273048,SAMN03339351,None,None,prothorax
GCPM00000000.1,GCPM,PRJNA273048,SAMN03339351,None,adult,None
GCPM00000000.1,GCPM,PRJNA273048,SAMN03339351,female,None,None
GDBX00000000.1,GDBX,PRJNA273054,SAMN03339357,None,None,whole organism
GDBX00000000.1,GDBX,PRJNA273054,SAMN03339357,None,adult,None
GDBX00000000.1,GDBX,PRJNA273054,SAMN03339357,missing,None,None
GCPI00000000.1,GCPI,PRJNA273035,SAMN03339338,None,None,whole organism
GCPI00000000.1,GCPI,PRJNA273035,SAMN03339338,None,adult,None
GCPI00000000.1,GCPI,PRJNA273035,SAMN03339338,female,None,None
GDBW00000000.1,GDBW,PRJNA273061,SAMN03339364,None,None,whole organism
GDBW00000000.1,GDBW,PRJNA273061,SAMN03339364,None,adult,None
GDBW00000000.1,GDBW,PRJNA273061,SAMN03339364,missing,None,None
GDBV00000000.1,GDBV,PRJNA273040,SAMN03339343,None,None,whole organism
GDBV00000000.1,GDBV,PRJNA273040,SAMN03339343,None,nymph,None
GDBV00000000.1,GDBV,PRJNA273040,SAMN03339343,missing,None,None
GDBU00000000.1,GDBU,PRJNA273060,SAMN03339363,None,None,whole organism
GDBU00000000.1,GDBU,PRJNA273060,SAMN03339363,None,adult,None
GDBU00000000.1,GDBU,PRJNA273060,SAMN03339363,missing,None,None
GCPG00000000.1,GCPG,PRJNA273032,SAMN03339335,None,None,whole organism
GCPG00000000.1,GCPG,PRJNA273032,SAMN03339335,None,adult,None
GCPG00000000.1,GCPG,PRJNA273032,SAMN03339335,missing,None,None
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,None,None,head and thorax
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,None,adult,None
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,female,None,None
GDCQ00000000.1,GDCQ,PRJNA273042,SAMN03339345,None,None,whole organism
GDCQ00000000.1,GDCQ,PRJNA273042,SAMN03339345,None,nymph,None
GDCQ00000000.1,GDCQ,PRJNA273042,SAMN03339345,missing,None,None
GGPJ00000000.1,GGPJ,PRJNA472074,SAMN09225366,None,adults,None
GGPJ00000000.1,GGPJ,PRJNA472074,SAMN09225366,pooled male and female,None,None
GGPJ00000000.1,GGPJ,PRJNA472074,SAMN09225366,None,None,whole body
GFRL00000000.1,GFRL,PRJNA390923,SAMN07259747,None,None,"the whole body after head, wings and gut were removed"
GFRL00000000.1,GFRL,PRJNA390923,SAMN07259747,None,not collected,None
GFRL00000000.1,GFRL,PRJNA390923,SAMN07259747,missing,None,None
GGIT00000000.1,GGIT,PRJNA436774,SAMN08631968,None,None,whole body tissue
GGIT00000000.1,GGIT,PRJNA436774,SAMN08631968,None,mixed individuals,None
GGIT00000000.1,GGIT,PRJNA436774,SAMN08631968,not applicable,None,None
GFUV00000000.1,GFUV,PRJNA308354,SAMN04394587,None,None,midgut
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026812,None,larvae of first instar stage,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026812,pooled male and female,None,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026812,None,None,whole body
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026817,None,larvae of fifth instar stage,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026817,pooled male and female,None,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026817,None,None,whole body
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026818,None,larvae of fifth instar stage,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026818,pooled male and female,None,None
GGBU00000000.1,GGBU,PRJNA418395,SAMN08026818,None,None,whole body
GGBQ00000000.1,GGBQ,PRJNA418395,SAMN08026811,pooled male and female,None,None
GGBQ00000000.1,GGBQ,PRJNA418395,SAMN08026811,None,None,whole body
GGBO00000000.1,GGBO,PRJNA418395,SAMN08026780,None,larvae of first instar stage,None
GGBO00000000.1,GGBO,PRJNA418395,SAMN08026780,pooled male and female,None,None
GGBO00000000.1,GGBO,PRJNA418395,SAMN08026780,None,None,whole body
GCXO00000000.1,GCXO,PRJNA272255,SAMN03341969,None,None,whole organism
GCXO00000000.1,GCXO,PRJNA272255,SAMN03341969,None,adult,None
GCXO00000000.1,GCXO,PRJNA272255,SAMN03341969,missing,None,None
GCYA00000000.1,GCYA,PRJNA272257,SAMN03341972,None,None,whole organism
GCYA00000000.1,GCYA,PRJNA272257,SAMN03341972,None,adult,None
GCYA00000000.1,GCYA,PRJNA272257,SAMN03341972,missing,None,None
GCZE00000000.1,GCZE,PRJNA272269,SAMN03341980,None,None,whole organism
GCZE00000000.1,GCZE,PRJNA272269,SAMN03341980,None,adult,None
GCZE00000000.1,GCZE,PRJNA272269,SAMN03341980,male,None,None
GCZJ00000000.1,GCZJ,PRJNA272300,SAMN03342014,None,None,whole organism
GCZJ00000000.1,GCZJ,PRJNA272300,SAMN03342014,None,adult,None
GCZJ00000000.1,GCZJ,PRJNA272300,SAMN03342014,missing,None,None
GCWP00000000.1,GCWP,PRJNA272239,SAMN03341953,None,None,whole organism
GCWP00000000.1,GCWP,PRJNA272239,SAMN03341953,None,adult,None
GCWP00000000.1,GCWP,PRJNA272239,SAMN03341953,missing,None,None
GCYZ00000000.1,GCYZ,PRJNA272296,SAMN03342010,None,None,whole organism
GCYZ00000000.1,GCYZ,PRJNA272296,SAMN03342010,None,adult,None
GCYZ00000000.1,GCYZ,PRJNA272296,SAMN03342010,missing,None,None
GCYF00000000.1,GCYF,PRJNA272268,SAMN03341984,None,None,whole organism
GCYF00000000.1,GCYF,PRJNA272268,SAMN03341984,None,adult,None
GCYF00000000.1,GCYF,PRJNA272268,SAMN03341984,missing,None,None
GCXV00000000.1,GCXV,PRJNA272264,SAMN03341979,None,None,whole organism
GCXV00000000.1,GCXV,PRJNA272264,SAMN03341979,None,adult,None
GCXV00000000.1,GCXV,PRJNA272264,SAMN03341979,missing,None,None
GCWX00000000.1,GCWX,PRJNA272258,SAMN03341973,None,None,whole organism
GCWX00000000.1,GCWX,PRJNA272258,SAMN03341973,None,adult,None
